,chrom,total_bins_with_pls_and_els,min_count,max_count,average_count,median_count,standarddeviation,total_count
0,chr1,16732,1.0,1096.0,56.96916088931389,10.0,107.84406272535314,953208
1,chr11,9556,1.0,868.0,61.741314357471744,12.0,110.26499177131296,590000
2,chr12,7753,1.0,1568.0,64.13775312782148,11.0,120.95584794472008,497260
3,chr13,1438,1.0,617.0,62.5778859527121,9.0,111.60540704785771,89987
4,chr14,4613,1.0,1156.0,69.2391068718838,14.0,127.4941715088311,319400
5,chr15,3585,1.0,989.0,56.577963737796374,9.0,104.99734798953499,202832
6,chr16,8300,1.0,1028.0,53.78349397590362,9.0,104.33576010163009,446403
7,chr17,10990,1.0,1017.0,59.95113739763421,10.0,110.99618924705815,658863
8,chr18,1275,1.0,838.0,68.81960784313725,12.0,118.14599313545872,87745
9,chr19,19032,1.0,983.0,54.413566624632196,10.0,103.11653274933725,1035599
10,chr2,6763,1.0,885.0,61.137365074671,9.0,110.4863627015579,413472
11,chr21,872,1.0,572.0,56.05619266055046,9.0,99.00549196239155,48881
12,chr22,3918,1.0,662.0,54.48392036753446,11.0,100.69392527245459,213468
13,chr3,6977,1.0,896.0,60.57746882614304,10.0,111.62455652469524,422649
14,chr4,3007,1.0,634.0,64.39607582307949,11.0,111.39950079519026,193639
15,chr5,5124,1.0,953.0,59.9428181108509,10.0,109.47449366413366,307147
16,chr6,8496,1.0,773.0,64.75588512241055,12.0,113.97908406274992,550166
17,chr7,5522,1.0,985.0,63.325606664252085,9.5,114.90796165696361,349684
18,chr8,3343,1.0,765.0,61.45438229135507,10.0,109.58907936320286,205442
19,chr9,5699,1.0,984.0,56.88541849447272,10.0,107.65393022296381,324190
20,chrX,2719,1.0,719.0,64.86465612357485,11.0,114.61265048796737,176367
